대분류,중분류,대분류 지출액 비율,중분류 지출액 비율
쇼핑업,기타관광쇼핑,26.9,19.5
쇼핑업,대형쇼핑몰,26.9,4.2
쇼핑업,레저용품쇼핑,26.9,3.2
숙박업,기타숙박,8.9,6.5
숙박업,캠핑장/펜션,8.9,0.2
숙박업,콘도,8.9,0.1
숙박업,호텔,8.9,2.1
식음료업,일반외식업,44.7,38.0
식음료업,제과음료업,44.7,6.7
여가서비스업,골프장,4.3,1.9
여가서비스업,관광유원시설,4.3,0.3
여가서비스업,기타레저,4.3,1.0
여가서비스업,문화서비스,4.3,1.2
여행업,여행업,0.1,0.1
운송업,렌터카,14.0,0.1
운송업,수상운송,14.0,0.1
운송업,육상운송,14.0,13.8
의료웰니스업,뷰티,1.2,0.8
의료웰니스업,의료관광,1.2,0.3
