region,itinerary_names,num_activities,total_distance_m,total_duration_sec,total_walk_distance_m,total_transfers,walk_ratio
서울 중구,덕수궁 -> 남산골한옥마을 -> 숭례문 -> 남대문갈치조림골목,4,7559,1892,1567.2,0,0.2073290117740442
서울 중구,덕수궁 -> 남산골한옥마을 -> 숭례문 -> 남산둘레길,4,8445,1986,1833.0,0,0.21705150976909413
서울 중구,덕수궁 -> 남산골한옥마을 -> 숭례문 -> 청계천한빛광장,4,8341,2135,1825.1000000000001,0,0.21881069416137156
서울 중구,덕수궁 -> 남산골한옥마을 -> 숭례문 -> 백범광장,4,7904,2023,1694.0,0,0.21432186234817813
서울 중구,덕수궁 -> 남산골한옥마을 -> 숭례문 -> 덕수궁 대한문,4,8467,2105,1862.9,0,0.2200188968938231
서울 중구,덕수궁 -> 남산골한옥마을 -> 숭례문 -> 서울한양도성 남산구간 3코스,4,11758,2464,2351.6000000000004,0,0.20000000000000004
서울 중구,덕수궁 -> 남산골한옥마을 -> 숭례문 -> 남산팔각정,4,11758,2464,2351.6000000000004,0,0.20000000000000004
서울 중구,덕수궁 -> 남산골한옥마을 -> 숭례문 -> 남대문칼국수골목,4,7248,1962,1497.2,0,0.2065673289183223
서울 중구,덕수궁 -> 남산골한옥마을 -> 숭례문 -> 덕수궁 석조전대한제국역사관,4,8885,2222,1777.0,0,0.2
서울 중구,덕수궁 -> 남산골한옥마을 -> 숭례문 -> 서울한양도성 흥인지문구간,4,10279,2460,2055.8,0,0.2
서울 중구,덕수궁 -> 남산골한옥마을 -> 숭례문 -> 장충동족발거리,4,10500,2469,2100.0,0,0.2
서울 중구,덕수궁 -> 남산골한옥마을 -> 숭례문 -> 광희문,4,10052,2334,2010.4,0,0.2
서울 중구,덕수궁 -> 남산골한옥마을 -> 숭례문 -> 을지로노가리골목,4,9048,2288,1809.6000000000001,0,0.2
서울 중구,덕수궁 -> 남산골한옥마을 -> 숭례문 -> 몽골타운,4,9952,2395,1990.4,0,0.2
서울 중구,덕수궁 -> 남산골한옥마을 -> 숭례문 -> 세실마루,4,8297,2071,1811.9,0,0.21838013739905993
서울 중구,덕수궁 -> 남산골한옥마을 -> 숭례문 -> 환구단 황궁우,4,7524,1979,1580.0,0,0.2099946836788942
서울 중구,덕수궁 -> 남산골한옥마을 -> 숭례문 -> 덕수궁 중명전,4,8917,2227,1783.4,0,0.2
서울 중구,덕수궁 -> 남산골한옥마을 -> 덕수궁돌담길 -> 남산케이블카,4,10290,2952,2058.0,0,0.2
서울 중구,덕수궁 -> 남산골한옥마을 -> 덕수궁돌담길 -> 숭례문,4,8634,2371,1918.1999999999998,0,0.22216817234190409
서울 중구,덕수궁 -> 남산골한옥마을 -> 덕수궁돌담길 -> 신당동떡볶이타운,4,12340,3245,2187.0,0,0.1772285251215559
서울 중구,덕수궁 -> 남산골한옥마을 -> 덕수궁돌담길 -> 정동전망대,4,6729,1819,1346.7,0,0.20013374944271067
서울 중구,덕수궁 -> 남산골한옥마을 -> 덕수궁돌담길 -> 남대문갈치조림골목,4,9190,2556,1838.0,0,0.2
서울 중구,덕수궁 -> 남산골한옥마을 -> 덕수궁돌담길 -> 남산둘레길,4,9836,2598,1967.2,0,0.2
서울 중구,덕수궁 -> 남산골한옥마을 -> 덕수궁돌담길 -> 청계천한빛광장,4,9199,2502,1839.8,0,0.19999999999999998
서울 중구,덕수궁 -> 남산골한옥마을 -> 덕수궁돌담길 -> 백범광장,4,9528,2557,1905.6,0,0.19999999999999998
서울 중구,덕수궁 -> 남산골한옥마을 -> 덕수궁돌담길 -> 덕수궁 대한문,4,8333,2287,1827.9,0,0.21935677427097086
서울 중구,덕수궁 -> 남산골한옥마을 -> 덕수궁돌담길 -> 서울한양도성 남산구간 3코스,4,12531,3181,2215.65,0,0.17681350251376587
서울 중구,덕수궁 -> 남산골한옥마을 -> 덕수궁돌담길 -> 남산팔각정,4,12531,3180,2215.65,0,0.17681350251376587
서울 중구,덕수궁 -> 남산골한옥마을 -> 덕수궁돌담길 -> 남대문칼국수골목,4,9534,2740,1906.8000000000002,0,0.2
서울 중구,덕수궁 -> 남산골한옥마을 -> 덕수궁돌담길 -> 덕수궁 석조전대한제국역사관,4,7061,1916,1446.3,0,0.20482934428551197
서울 중구,덕수궁 -> 남산골한옥마을 -> 덕수궁돌담길 -> 서울한양도성 흥인지문구간,4,11241,3028,2248.2,0,0.19999999999999998
서울 중구,덕수궁 -> 남산골한옥마을 -> 덕수궁돌담길 -> 장충동족발거리,4,12113,3336,2152.95,0,0.17773879303227935
서울 중구,덕수궁 -> 남산골한옥마을 -> 덕수궁돌담길 -> 광희문,4,11539,3042,2307.8,0,0.2
서울 중구,덕수궁 -> 남산골한옥마을 -> 덕수궁돌담길 -> 을지로노가리골목,4,9906,2656,1981.2,0,0.2
서울 중구,덕수궁 -> 남산골한옥마을 -> 덕수궁돌담길 -> 몽골타운,4,11532,3197,2306.4,0,0.2
서울 중구,덕수궁 -> 남산골한옥마을 -> 덕수궁돌담길 -> 세실마루,4,8163,2249,1776.9,0,0.2176773245130467
서울 중구,덕수궁 -> 남산골한옥마을 -> 덕수궁돌담길 -> 환구단 황궁우,4,9264,2520,1852.8,0,0.19999999999999998
서울 중구,덕수궁 -> 남산골한옥마을 -> 덕수궁돌담길 -> 덕수궁 중명전,4,7093,1920,1455.9,0,0.20525870576624844
서울 중구,덕수궁 -> 남산골한옥마을 -> 신당동떡볶이타운 -> 남산케이블카,4,11727,3060,2077.7,0,0.17717233734117846
서울 중구,덕수궁 -> 남산골한옥마을 -> 신당동떡볶이타운 -> 숭례문,4,11787,3033,2086.7,0,0.17703402053109357
서울 중구,덕수궁 -> 남산골한옥마을 -> 신당동떡볶이타운 -> 덕수궁돌담길,4,10459,2674,2091.8,0,0.2
서울 중구,덕수궁 -> 남산골한옥마을 -> 신당동떡볶이타운 -> 정동전망대,4,10469,2676,2093.8,0,0.2
서울 중구,덕수궁 -> 남산골한옥마을 -> 신당동떡볶이타운 -> 남대문갈치조림골목,4,11117,2906,2223.4,0,0.2
서울 중구,덕수궁 -> 남산골한옥마을 -> 신당동떡볶이타운 -> 남산둘레길,4,11946,2796,2110.5499999999997,0,0.17667420056922817
서울 중구,덕수궁 -> 남산골한옥마을 -> 신당동떡볶이타운 -> 청계천한빛광장,4,10226,2617,2045.1999999999998,0,0.19999999999999998
서울 중구,덕수궁 -> 남산골한옥마을 -> 신당동떡볶이타운 -> 백범광장,4,12220,2820,2151.6499999999996,0,0.1760761047463175
서울 중구,덕수궁 -> 남산골한옥마을 -> 신당동떡볶이타운 -> 덕수궁 대한문,4,10383,2658,2076.6,0,0.19999999999999998
서울 중구,덕수궁 -> 남산골한옥마을 -> 신당동떡볶이타운 -> 서울한양도성 남산구간 3코스,4,9209,2357,1841.8,0,0.19999999999999998
서울 중구,덕수궁 -> 남산골한옥마을 -> 신당동떡볶이타운 -> 남산팔각정,4,9209,2357,1841.8,0,0.19999999999999998
