대분류,중분류,대분류 지출액 비율,중분류 지출액 비율
쇼핑업,기타관광쇼핑,65.9,6.9
쇼핑업,대형쇼핑몰,65.9,58.2
쇼핑업,레저용품쇼핑,65.9,0.7
쇼핑업,면세점,65.9,0.1
숙박업,기타숙박,5.7,1.5
숙박업,캠핑장/펜션,5.7,0.0
숙박업,콘도,5.7,0.0
숙박업,호텔,5.7,4.2
식음료업,일반외식업,21.2,18.7
식음료업,제과음료업,21.2,2.5
여가서비스업,골프장,1.0,0.1
여가서비스업,관광유원시설,1.0,0.2
여가서비스업,기타레저,1.0,0.5
여가서비스업,문화서비스,1.0,0.2
여행업,여행업,0.1,0.1
운송업,렌터카,4.7,0.0
운송업,수상운송,4.7,0.5
운송업,육상운송,4.7,4.2
의료웰니스업,뷰티,1.4,1.1
의료웰니스업,의료관광,1.4,0.3
